; CSV, generated by atk_libsigrok4 1.0.0 on 2026-05-29 18:46:10
; Channels (2/16)
; ChannelsType: 3
; Sample rate: 5 MHz
; Sample count: 58.151489 M
; Sampling time: 2026-05-29 18:45:18.096
SystemTime, Time(s), Channel 0, Channel 1
'2026-05-29 18:45:19.584553000,1.488553000,1,0
'2026-05-29 18:45:19.584631200,1.488631200,1,1
'2026-05-29 18:45:19.584640000,1.488640000,1,0
'2026-05-29 18:45:19.584648600,1.488648600,1,1
'2026-05-29 18:45:19.584657400,1.488657400,1,0
'2026-05-29 18:45:19.584666000,1.488666000,1,1
'2026-05-29 18:45:19.584683400,1.488683400,1,0
'2026-05-29 18:45:19.584692000,1.488692000,1,1
'2026-05-29 18:45:19.584700800,1.488700800,1,0
'2026-05-29 18:45:19.584718200,1.488718200,1,1
'2026-05-29 18:45:19.584726800,1.488726800,1,0
'2026-05-29 18:45:19.584735600,1.488735600,1,1
'2026-05-29 18:45:19.584744200,1.488744200,1,0
'2026-05-29 18:45:19.584752800,1.488752800,1,1
'2026-05-29 18:45:19.584770200,1.488770200,1,0
'2026-05-29 18:45:19.584805000,1.488805000,1,1
'2026-05-29 18:45:19.584813800,1.488813800,1,0
'2026-05-29 18:45:19.584891800,1.488891800,1,1
'2026-05-29 18:45:19.584900600,1.488900600,1,0
'2026-05-29 18:45:19.584978800,1.488978800,1,1
'2026-05-29 18:45:19.584987400,1.488987400,1,0
'2026-05-29 18:45:19.585039600,1.489039600,1,1
'2026-05-29 18:45:19.585074400,1.489074400,1,0
'2026-05-29 18:45:19.585152600,1.489152600,1,1
'2026-05-29 18:45:19.585161200,1.489161200,1,0
'2026-05-29 18:45:19.585187200,1.489187200,1,1
'2026-05-29 18:45:19.585196000,1.489196000,1,0
'2026-05-29 18:45:19.585239400,1.489239400,1,1
'2026-05-29 18:45:19.585248200,1.489248200,1,0
'2026-05-29 18:45:19.585256800,1.489256800,1,1
'2026-05-29 18:45:19.585282800,1.489282800,1,0
'2026-05-29 18:45:19.585291600,1.489291600,1,1
'2026-05-29 18:45:19.585309000,1.489309000,1,0
'2026-05-29 18:45:19.585326200,1.489326200,1,1
'2026-05-29 18:45:19.585335000,1.489335000,1,0
'2026-05-29 18:45:19.585413200,1.489413200,1,1
'2026-05-29 18:45:19.585421800,1.489421800,1,0
'2026-05-29 18:45:19.585500000,1.489500000,1,1
'2026-05-29 18:45:19.585508800,1.489508800,1,0
'2026-05-29 18:45:19.585587000,1.489587000,1,1
'2026-05-29 18:45:19.585595600,1.489595600,1,0
'2026-05-29 18:45:19.585673800,1.489673800,1,1
'2026-05-29 18:45:19.585682600,1.489682600,1,0
'2026-05-29 18:45:19.585691200,1.489691200,1,1
'2026-05-29 18:45:19.585708600,1.489708600,1,0
'2026-05-29 18:45:19.585760600,1.489760600,1,1
'2026-05-29 18:45:19.585769400,1.489769400,1,0
'2026-05-29 18:45:19.585838800,1.489838800,1,1
'2026-05-29 18:45:19.585856200,1.489856200,1,0
'2026-05-29 18:45:19.585934400,1.489934400,1,1
'2026-05-29 18:45:19.585943200,1.489943200,1,0
'2026-05-29 18:45:19.586021400,1.490021400,1,1
'2026-05-29 18:45:19.586030000,1.490030000,1,0
'2026-05-29 18:45:19.586038800,1.490038800,1,1
'2026-05-29 18:45:19.586056000,1.490056000,1,0
'2026-05-29 18:45:19.586073400,1.490073400,1,1
'2026-05-29 18:45:19.586082200,1.490082200,1,0
'2026-05-29 18:45:19.586108200,1.490108200,1,1
'2026-05-29 18:45:19.586117000,1.490117000,1,0
'2026-05-29 18:45:19.586125600,1.490125600,1,1
'2026-05-29 18:45:19.586134200,1.490134200,1,0
'2026-05-29 18:45:19.586195000,1.490195000,1,1
'2026-05-29 18:45:19.586203800,1.490203800,1,0
'2026-05-29 18:45:19.586229800,1.490229800,1,1
'2026-05-29 18:45:19.586238600,1.490238600,1,0
'2026-05-29 18:45:19.586256000,1.490256000,1,1
'2026-05-29 18:45:19.586273200,1.490273200,1,0
'2026-05-29 18:45:19.586282000,1.490282000,1,1
'2026-05-29 18:45:19.586290600,1.490290600,1,0
'2026-05-29 18:45:19.586368800,1.490368800,1,1
'2026-05-29 18:45:19.586377600,1.490377600,1,0
'2026-05-29 18:45:19.586455800,1.490455800,1,1
'2026-05-29 18:45:19.586464400,1.490464400,1,0
'2026-05-29 18:45:19.586499200,1.490499200,1,1
'2026-05-29 18:45:19.586516600,1.490516600,1,0
'2026-05-29 18:45:19.586525200,1.490525200,1,1
'2026-05-29 18:45:19.586534000,1.490534000,1,0
'2026-05-29 18:45:19.586542600,1.490542600,1,1
'2026-05-29 18:45:19.586551400,1.490551400,1,0
'2026-05-29 18:45:19.586568600,1.490568600,1,1
'2026-05-29 18:45:19.586577400,1.490577400,1,0
'2026-05-29 18:45:19.586620800,1.490620800,1,1
'2026-05-29 18:45:19.586638200,1.490638200,1,0
'2026-05-29 18:45:19.586673000,1.490673000,1,1
'2026-05-29 18:45:19.586690400,1.490690400,1,0
'2026-05-29 18:45:19.586699000,1.490699000,1,1
'2026-05-29 18:45:19.586707600,1.490707600,1,0
'2026-05-29 18:45:19.586716400,1.490716400,1,1
'2026-05-29 18:45:19.586725000,1.490725000,1,0
'2026-05-29 18:45:19.586742400,1.490742400,1,1
'2026-05-29 18:45:19.586751200,1.490751200,1,0
'2026-05-29 18:45:19.586803200,1.490803200,1,1
'2026-05-29 18:45:19.586812000,1.490812000,1,0
'2026-05-29 18:45:19.586890200,1.490890200,1,1
'2026-05-29 18:45:19.586898800,1.490898800,1,0
'2026-05-29 18:45:19.586977000,1.490977000,1,1
'2026-05-29 18:45:19.586985800,1.490985800,1,0
'2026-05-29 18:45:19.586994400,1.490994400,1,1
'2026-05-29 18:45:19.587055200,1.491055200,1,0
'2026-05-29 18:45:19.587063800,1.491063800,1,1
'2026-05-29 18:45:19.587072600,1.491072600,1,0
'2026-05-29 18:45:19.587081200,1.491081200,1,1
'2026-05-29 18:45:19.587090000,1.491090000,1,0
'2026-05-29 18:45:19.587142000,1.491142000,1,1
'2026-05-29 18:45:19.587159400,1.491159400,1,0
'2026-05-29 18:45:19.587168200,1.491168200,1,1
'2026-05-29 18:45:19.587176800,1.491176800,1,0
'2026-05-29 18:45:19.587194200,1.491194200,1,1
'2026-05-29 18:45:19.587202800,1.491202800,1,0
'2026-05-29 18:45:19.587211600,1.491211600,1,1
'2026-05-29 18:45:19.587220200,1.491220200,1,0
'2026-05-29 18:45:19.587237600,1.491237600,1,1
'2026-05-29 18:45:19.587246400,1.491246400,1,0
'2026-05-29 18:45:19.587255000,1.491255000,1,1
'2026-05-29 18:45:19.587272400,1.491272400,1,0
'2026-05-29 18:45:19.587324600,1.491324600,1,1
'2026-05-29 18:45:19.587333200,1.491333200,1,0
'2026-05-29 18:45:19.587341800,1.491341800,1,1
'2026-05-29 18:45:19.587359200,1.491359200,1,0
'2026-05-29 18:45:19.587368000,1.491368000,1,1
'2026-05-29 18:45:19.587385400,1.491385400,1,0
'2026-05-29 18:45:19.587394000,1.491394000,1,1
'2026-05-29 18:45:19.587420000,1.491420000,1,0
'2026-05-29 18:45:19.587437400,1.491437400,1,1
'2026-05-29 18:45:19.587454800,1.491454800,1,0
'2026-05-29 18:45:19.587472200,1.491472200,1,1
'2026-05-29 18:45:19.587489600,1.491489600,1,0
'2026-05-29 18:45:19.587498200,1.491498200,1,1
'2026-05-29 18:45:20.584755000,2.488755000,1,0
'2026-05-29 18:45:20.584763600,2.488763600,1,1
'2026-05-29 18:45:20.584772200,2.488772200,1,0
'2026-05-29 18:45:20.584781000,2.488781000,1,1
'2026-05-29 18:45:20.584789600,2.488789600,1,0
'2026-05-29 18:45:20.584798400,2.488798400,1,1
'2026-05-29 18:45:20.584807000,2.488807000,1,0
'2026-05-29 18:45:20.584815800,2.488815800,1,1
'2026-05-29 18:45:20.584824400,2.488824400,1,0
'2026-05-29 18:45:20.584833000,2.488833000,1,1
'2026-05-29 18:45:20.584841800,2.488841800,1,0
'2026-05-29 18:45:20.584850400,2.488850400,1,1
'2026-05-29 18:45:20.584859200,2.488859200,1,0
'2026-05-29 18:45:20.584876600,2.488876600,1,1
'2026-05-29 18:45:20.584902600,2.488902600,1,0
'2026-05-29 18:45:20.584920000,2.488920000,1,1
